,Day,Month,Year,Hour,Demand (kWh)
68,29,Apr,2018,16,0.0
69,29,Apr,2018,17,1.8497837837837852
70,29,Apr,2018,18,4.175262393251023
71,29,Apr,2018,19,18.798147189447345
72,29,Apr,2018,20,34.69951864669992
73,29,Apr,2018,21,35.70563741893474
74,29,Apr,2018,22,30.384791807397338
75,29,Apr,2018,23,21.643053577707704
76,30,Apr,2018,0,19.09800069585347
77,30,Apr,2018,1,16.968625696662635
78,30,Apr,2018,2,14.132022536110126
79,30,Apr,2018,3,12.808868421052637
80,30,Apr,2018,4,4.5273324022346415
81,30,Apr,2018,5,5.354108007448787
82,30,Apr,2018,6,3.4994413407821203
83,30,Apr,2018,7,2.5462372971534983
84,30,Apr,2018,8,2.3242857142857107
85,30,Apr,2018,9,2.3242857142857107
86,30,Apr,2018,10,2.3242857142857107
87,30,Apr,2018,11,2.3242857142857107
88,30,Apr,2018,12,2.3242857142857107
89,30,Apr,2018,13,1.2396190476190472
90,30,Apr,2018,14,2.674995796553175
91,30,Apr,2018,15,6.665453938896561
92,30,Apr,2018,16,34.74144916642493
93,30,Apr,2018,17,51.62466060872417
94,30,Apr,2018,18,46.82678705935849
95,30,Apr,2018,19,40.76980687297826
96,30,Apr,2018,20,32.02028724706921
97,30,Apr,2018,21,24.261895133525865
98,30,Apr,2018,22,27.500007505619507
99,30,Apr,2018,23,22.43598543228194
100,1,May,2018,0,13.353600946940158
101,1,May,2018,1,7.589490431346823
102,1,May,2018,2,19.791169485234033
103,1,May,2018,3,25.51944818357728
104,1,May,2018,4,14.02209963988736
105,1,May,2018,5,7.308974949953532
106,1,May,2018,6,5.0792833660802
107,1,May,2018,7,3.5057841237399505
108,1,May,2018,8,3.013012419559886
109,1,May,2018,9,3.013012419559886
110,1,May,2018,10,3.013012419559886
111,1,May,2018,11,3.013012419559886
112,1,May,2018,12,3.013012419559886
113,1,May,2018,13,3.013012419559886
114,1,May,2018,14,5.645357430984105
115,1,May,2018,15,12.315528264778747
116,1,May,2018,16,29.117950849329745
